import time: self [us] | cumulative | imported package
import time:      1030 |       1030 |                 starlette._utils
import time:      1010 |       1010 |                         python_multipart.exceptions
import time:      1056 |       2066 |                       python_multipart.decoders
import time:      2382 |       4447 |                     python_multipart.multipart
import time:      2175 |       6621 |                   python_multipart
import time:      1824 |       8445 |                 starlette.formparsers
import time:      1246 |      12743 |               starlette.requests
import time:      1349 |      14857 |             fastapi.security.api_key
import time:       774 |        774 |               fastapi.security.utils
import time:      1606 |       2380 |             fastapi.security.http
import time:      1664 |       1664 |               fastapi.param_functions
import time:      1273 |       2937 |             fastapi.security.oauth2
import time:       859 |        859 |             fastapi.security.open_id_connect_url
import time:      1070 |      22102 |           fastapi.security
import time:        43 |      22144 |         fastapi.security.base
import time:      2763 |      25792 |       fastapi.dependencies.models
import time:       747 |        747 |           starlette.background
import time:       870 |       1617 |         fastapi.background
import time:       698 |        698 |         fastapi.concurrency
import time:       705 |        705 |         fastapi.utils
import time:      1607 |       1607 |             _hashlib
import time:        42 |         42 |             _blake2
import time:      1266 |       2914 |           hashlib
import time:      1232 |       1232 |           mimetypes
import time:      1089 |       1089 |             hmac
import time:      1175 |       2264 |           secrets
import time:      1099 |       7507 |         starlette.responses
import time:       905 |        905 |         starlette.websockets
import time:      1982 |      13412 |       fastapi.dependencies.utils
import time:       977 |        977 |           colorsys
import time:       965 |       1941 |         pydantic.color
import time:       697 |        697 |           pydantic_extra_types
import time:        35 |        731 |         pydantic_extra_types.color
import time:       938 |       3610 |       fastapi.encoders
import time:      2467 |       2467 |       fastapi.sse
import time:       737 |        737 |         starlette._exception_handler
import time:      1176 |       1176 |         starlette.convertors
import time:       982 |        982 |         starlette.middleware
import time:      1279 |       4172 |       starlette.routing
import time:      1712 |     312912 |     fastapi.routing
import time:       603 |        603 |       fastapi.websockets
import time:       628 |       1230 |     fastapi.exception_handlers
import time:       904 |        904 |       fastapi.middleware
import time:      1160 |       2063 |     fastapi.middleware.asyncexitstack
import time:       737 |        737 |     fastapi.openapi.docs
import time:      1037 |       1037 |           email.feedparser
import time:       959 |       1996 |         email.parser
import time:      1428 |       3423 |       http.client
import time:      1055 |       1055 |         orjson.orjson
import time:      3018 |       4073 |       fastapi.responses
import time:       995 |       8489 |     fastapi.openapi.utils
import time:      1594 |       1594 |           html.entities
import time:      1133 |       2727 |         html
import time:      1155 |       3882 |       starlette.middleware.errors
import time:       687 |        687 |       starlette.middleware.exceptions
import time:       757 |       5325 |     starlette.applications
import time:       871 |        871 |     starlette.middleware.base
import time:      1871 |     335630 |   fastapi.applications
import time:       568 |        568 |   fastapi.requests
import time:      1120 |     340106 | fastapi
import time:       629 |        629 |   starlette.staticfiles
import time:       491 |       1119 | fastapi.staticfiles
import time:      1082 |       1082 |           _compat_pickle
import time:        93 |         93 |           _pickle
import time:      1397 |       2571 |         pickle
import time:      1136 |       3707 |       jinja2.bccache
import time:      1263 |       1263 |           markupsafe._speedups
import time:      1465 |       2728 |         markupsafe
import time:      1596 |       1596 |           jinja2.utils
import time:      1870 |       3466 |         jinja2.nodes
import time:       981 |        981 |           jinja2.exceptions
import time:       835 |        835 |             jinja2.visitor
import time:      1094 |       1928 |           jinja2.idtracking
import time:       774 |        774 |           jinja2.optimizer
import time:      3345 |       7026 |         jinja2.compiler
import time:      1036 |       1036 |             jinja2.async_utils
import time:      1343 |       1343 |             jinja2.runtime
import time:      1624 |       4002 |           jinja2.filters
import time:       765 |        765 |           jinja2.tests
import time:       781 |       5548 |         jinja2.defaults
import time:      1093 |       1093 |           jinja2._identifier
import time:      1599 |       2691 |         jinja2.lexer
import time:      1016 |       1016 |         jinja2.parser
import time:      2149 |      24620 |       jinja2.environment
import time:      1212 |       1212 |       jinja2.loaders
import time:      1230 |      30767 |     jinja2
import time:       589 |      31355 |   starlette.templating
import time:       511 |      31866 | fastapi.templating
import time:      1172 |       1172 |     sqlalchemy.util.preloaded
import time:       765 |        765 |         sqlalchemy.cyextension
import time:      2129 |       2129 |         sqlalchemy.cyextension.collections
import time:      1361 |       1361 |         sqlalchemy.cyextension.immutabledict
import time:       847 |        847 |         sqlalchemy.cyextension.processors
import time:       914 |        914 |         sqlalchemy.cyextension.resultproxy
import time:      2911 |       2911 |                 _wmi
import time:      1555 |       4466 |               platform
import time:     78469 |      82934 |             sqlalchemy.util.compat
import time:      1530 |      84464 |           sqlalchemy.exc
import time:       981 |      85444 |         sqlalchemy.cyextension.util
import time:       863 |      92321 |       sqlalchemy.util._has_cy
